name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phaeobacter gallaeciensis	60890	S	643439	271256	914695	0.16682
Phaeobacter inhibens	221822	S	74064	21784	95848	0.01748
Phaeobacter piscinae	1580596	S	31810	15298	47108	0.00859
Phaeobacter porticola	1844006	S	21948	4235	26183	0.00478
Phaeobacter sp. LSS9	681157	S	3997	2923	6920	0.00126
Roseovarius mucosus	215743	S	99739	66910	166649	0.03039
Roseovarius sp. TM1035	391613	S	88372	50266	138638	0.02528
Ruegeria sp. AD91A	2293862	S	104233	5823	110056	0.02007
Ruegeria pomeroyi	89184	S	57665	4792	62457	0.01139
Ruegeria sp. TM1040	292414	S	34636	4497	39133	0.00714
Ruegeria sp. NKC1-1	2099786	S	26	2	28	0.00001
Sulfitobacter pseudonitzschiae	1402135	S	30718	3976	34694	0.00633
Sulfitobacter sp. SK025	1389011	S	27352	5764	33116	0.00604
Sulfitobacter sp. JL08	2070369	S	26937	1252	28189	0.00514
Sulfitobacter sp. AM1-D1	1917485	S	25463	18424	43887	0.00800
Sulfitobacter sp. SK011	1389004	S	12691	558	13249	0.00242
Sulfitobacter sp. SK012	1389005	S	6767	185	6952	0.00127
Paracoccus zhejiangensis	1077935	S	15536	3615	19151	0.00349
Paracoccus sp. CBA4604	2065379	S	11663	895	12558	0.00229
Paracoccus yeei	147645	S	10719	14070	24789	0.00452
Paracoccus sp. BM15	1529068	S	10651	404	11055	0.00202
Paracoccus contaminans	1945662	S	10234	1417	11651	0.00212
Paracoccus denitrificans	266	S	9438	1404	10842	0.00198
Paracoccus aminovorans	34004	S	8061	1647	9708	0.00177
Paracoccus aminophilus	34003	S	7409	327	7736	0.00141
Paracoccus sp. SC2-6	2259340	S	7362	1599	8961	0.00163
Paracoccus mutanolyticus	1499308	S	1711	4997	6708	0.00122
Rhodobacter sphaeroides	1063	S	43523	6034	49557	0.00904
Rhodobacter sp. LPB0142	1850250	S	35946	31389	67335	0.01228
Rhodobacter sp. CZR27	2033869	S	12529	3072	15601	0.00285
Rhodobacter capsulatus	1061	S	10254	945	11199	0.00204
Epibacterium mobile	379347	S	93440	16626	110066	0.02007
Celeribacter indicus	1208324	S	20286	12554	32840	0.00599
Celeribacter manganoxidans	1411902	S	19751	3666	23417	0.00427
Celeribacter ethanolicus	1758178	S	13556	6365	19921	0.00363
Celeribacter baekdonensis	875171	S	11926	4186	16112	0.00294
Celeribacter marinus	1397108	S	8493	221	8714	0.00159
Leisingera methylohalidivorans	133924	S	76765	6595	83360	0.01520
Rhodovulum sp. P5	1564506	S	24061	2076	26137	0.00477
Rhodovulum sulfidophilum	35806	S	14034	5144	19178	0.00350
Rhodovulum sp. MB263	308754	S	8316	3861	12177	0.00222
Yangia sp. CCB-MM3	1792508	S	18594	3310	21904	0.00399
Yangia pacifica	311180	S	17611	3832	21443	0.00391
Sagittula sp. P11	2009329	S	38758	23133	61891	0.01129
Thalassococcus sp. SH-1	2109625	S	35594	2201	37795	0.00689
Marinovum algicola	42444	S	35317	10928	46245	0.00843
Confluentimicrobium sp. EMB200-NS6	1609966	S	33622	17549	51171	0.00933
Rhodobacteraceae bacterium BAR1	2171755	S	11220	259	11479	0.00209
Rhodobacteraceae bacterium QY30	2033435	S	10937	573	11510	0.00210
Rhodobacteraceae bacterium	1904441	S	10531	7835	18366	0.00335
Yoonia vestfoldensis	245188	S	31248	6294	37542	0.00685
Salipiger profundus	1229727	S	30404	14536	44940	0.00820
Dinoroseobacter shibae	215813	S	29341	13527	42868	0.00782
Antarctobacter heliothermus	74033	S	29149	1053	30202	0.00551
Pelagibaca abyssi	1250539	S	28699	11373	40072	0.00731
Roseobacter litoralis	42443	S	11348	856	12204	0.00223
Roseobacter denitrificans	2434	S	10809	2881	13690	0.00250
Octadecabacter arcticus	53946	S	13791	1504	15295	0.00279
Octadecabacter antarcticus	1217908	S	4810	490	5300	0.00097
Octadecabacter temperatus	1458307	S	4256	80	4336	0.00079
Roseibacterium elongatum	159346	S	24410	1449	25859	0.00472
Defluviimonas alba	1335048	S	23048	7696	30744	0.00561
Brevirhabdus pacifica	1267768	S	22386	7450	29836	0.00544
Tateyamaria omphalii	299262	S	20406	405	20811	0.00380
Thioclava nitratireducens	1915078	S	15933	2396	18329	0.00334
Jannaschia sp. CCS1	290400	S	14846	148	14994	0.00273
Marivivens sp. JLT3646	1920883	S	12755	4423	17178	0.00313
Gemmobacter sp. HYN0069	2169400	S	11818	3696	15514	0.00283
Ketogulonicigenium vulgare	92945	S	5033	619	5652	0.00103
Ketogulonicigenium robustum	92947	S	3857	463	4320	0.00079
Rhodobaca barguzinensis	441209	S	8966	239	9205	0.00168
Labrenzia sp. VG12	2021862	S	3466	177	3643	0.00066
Labrenzia aggregata	187304	S	1305	1387	2692	0.00049
Labrenzia sp. CP4	1674922	S	1056	1264	2320	0.00042
Pannonibacter phragmitetus	121719	S	4046	3323	7369	0.00134
Halocynthiibacter arcticus	1579316	S	3002	78	3080	0.00056
Stappia sp. ES.058	1881061	S	2283	133	2416	0.00044
Pseudovibrio sp. FO-BEG1	911045	S	1042	52	1094	0.00020
Hyphomonas sp. Mor2	1906738	S	3612	56	3668	0.00067
Hyphomonas sp. CACIAM 19H1	1873716	S	1270	289	1559	0.00028
Hyphomonas neptunium	81032	S	1059	217	1276	0.00023
Maricaulis maris	74318	S	825	35	860	0.00016
Hirschia baltica	2724	S	91	0	91	0.00002
Rhizobium sp. NT-26	1125847	S	3482	962	4444	0.00081
Rhizobium leguminosarum	384	S	3339	877	4216	0.00077
Rhizobium etli	29449	S	972	959	1931	0.00035
Rhizobium sp. ACO-34A	1571470	S	794	240	1034	0.00019
Rhizobium phaseoli	396	S	780	1070	1850	0.00034
Rhizobium gallicum	56730	S	654	142	796	0.00015
Rhizobium tropici	398	S	622	120	742	0.00014
Rhizobium sp. NXC24	2048897	S	580	96	676	0.00012
Rhizobium favelukesii	348824	S	542	310	852	0.00016
Rhizobium sp. 11515TR	2028343	S	487	82	569	0.00010
Rhizobium sp. CIAT894	2020312	S	382	130	512	0.00009
Rhizobium sp. NXC14	1981173	S	333	89	422	0.00008
Rhizobium sp. S41	1869170	S	149	1108	1257	0.00023
Rhizobium sp. Y9	1914541	S	81	415	496	0.00009
Rhizobium sp. Kim5	2020311	S	79	115	194	0.00004
Rhizobium sp. IRBG74	424182	S	72	351	423	0.00008
Rhizobium sp. TAL182	2020313	S	72	132	204	0.00004
Rhizobium sp. IE4771	1301032	S	57	74	131	0.00002
Rhizobium sp. N113	1703960	S	16	2478	2494	0.00045
Agrobacterium tumefaciens	358	S	2051	2446	4497	0.00082
Agrobacterium fabrum	1176649	S	414	196	610	0.00011
Agrobacterium vitis	373	S	938	144	1082	0.00020
Agrobacterium sp. RAC06	1842536	S	786	190	976	0.00018
Agrobacterium rhizogenes	359	S	485	218	703	0.00013
Agrobacterium sp. H13-3	861208	S	49	291	340	0.00006
Neorhizobium galegae	399	S	1323	254	1577	0.00029
Neorhizobium sp. SOG26	2060726	S	830	290	1120	0.00020
Neorhizobium sp. NCHU2750	1825976	S	733	271	1004	0.00018
Sinorhizobium fredii	380	S	2581	2892	5473	0.00100
Sinorhizobium sp. RAC02	1842534	S	1165	391	1556	0.00028
Sinorhizobium meliloti	382	S	1118	550	1668	0.00030
Sinorhizobium medicae	110321	S	605	173	778	0.00014
Sinorhizobium americanum	194963	S	554	258	812	0.00015
Sinorhizobium sp. CCBAU 05631	794846	S	29	70	99	0.00002
Ensifer adhaerens	106592	S	1684	639	2323	0.00042
Ensifer sojae	716925	S	795	554	1349	0.00025
Shinella sp. HZN7	879274	S	1413	1690	3103	0.00057
Liberibacter crescens	1273132	S	26	8	34	0.00001
Candidatus Liberibacter africanus	34020	S	14	8	22	0.00000
Mesorhizobium oceanicum	1670800	S	2058	571	2629	0.00048
Mesorhizobium ciceri	39645	S	1388	1541	2929	0.00053
Mesorhizobium loti	381	S	1385	1379	2764	0.00050
Mesorhizobium sp. DCY119	2108445	S	1038	420	1458	0.00027
Mesorhizobium amorphae	71433	S	867	304	1171	0.00021
Mesorhizobium opportunistum	593909	S	765	439	1204	0.00022
Mesorhizobium australicum	536018	S	685	389	1074	0.00020
Mesorhizobium japonicum	2066070	S	505	331	836	0.00015
Mesorhizobium huakuii	28104	S	101	492	593	0.00011
Mesorhizobium sp. WSM1497	278153	S	69	387	456	0.00008
Hoeflea phototrophica	244596	S	2608	572	3180	0.00058
Hoeflea sp. IMCC20628	1620421	S	1985	355	2340	0.00043
Nitratireductor sp. OM-1	1756988	S	1938	398	2336	0.00043
Nitratireductor basaltis	472175	S	1539	107	1646	0.00030
Aminobacter sp. MSH1	374606	S	1056	1276	2332	0.00043
Aminobacter aminovorans	83263	S	1014	486	1500	0.00027
Chelativorans sp. BNC1	266779	S	812	154	966	0.00018
Phyllobacterium zundukense	1867719	S	659	133	792	0.00014
Bradyrhizobium erythrophlei	1437360	S	1332	134	1466	0.00027
Bradyrhizobium sp. SK17	2057741	S	683	213	896	0.00016
Bradyrhizobium sp. ORS 285	115808	S	607	159	766	0.00014
Bradyrhizobium sp. BTAi1	288000	S	592	125	717	0.00013
Bradyrhizobium sp. ORS 278	114615	S	513	131	644	0.00012
Bradyrhizobium sp. CCGE-LA001	1223566	S	505	102	607	0.00011
Bradyrhizobium diazoefficiens	1355477	S	501	314	815	0.00015
Bradyrhizobium oligotrophicum	44255	S	497	104	601	0.00011
Bradyrhizobium japonicum	375	S	454	498	952	0.00017
Bradyrhizobium icense	1274631	S	437	89	526	0.00010
Bradyrhizobium ottawaense	931866	S	417	1292	1709	0.00031
Bradyrhizobium lablabi	722472	S	415	1061	1476	0.00027
Bradyrhizobium sp. S23321	335659	S	394	96	490	0.00009
Bradyrhizobium sp. 3 85S1MB	1404367	S	290	111	401	0.00007
Bradyrhizobium sp. 2 39S1MB	1404768	S	252	97	349	0.00006
Bradyrhizobium sp. G22	1839752	S	212	280	492	0.00009
Bradyrhizobium sp. WSM471	319017	S	101	185	286	0.00005
Bradyrhizobium sp.	376	S	84	169	253	0.00005
Rhodopseudomonas palustris	1076	S	4045	1248	5293	0.00097
Bosea sp. AS-1	2015316	S	1023	263	1286	0.00023
Bosea sp. RAC05	1842539	S	950	346	1296	0.00024
Bosea vaviloviae	1526658	S	914	226	1140	0.00021
Bosea sp. PAMC 26642	1792307	S	608	125	733	0.00013
Nitrobacter hamburgensis	912	S	633	125	758	0.00014
Nitrobacter winogradskyi	913	S	299	55	354	0.00006
Oligotropha carboxidovorans	40137	S	621	303	924	0.00017
Bradyrhizobiaceae bacterium SG-6C	709797	S	389	91	480	0.00009
Variibacter gotjawalensis	1333996	S	346	29	375	0.00007
Afipia sp. GAS231	1882747	S	338	316	654	0.00012
Maritalea myrionectae	454601	S	4704	126	4830	0.00088
Devosia sp. H5989	1643450	S	1172	148	1320	0.00024
Devosia sp. I507	2083786	S	878	70	948	0.00017
Devosia sp. A16	1736675	S	794	93	887	0.00016
Hyphomicrobium denitrificans	53399	S	856	201	1057	0.00019
Hyphomicrobium sp. MC1	717785	S	391	25	416	0.00008
Hyphomicrobium nitrativorans	1427356	S	359	24	383	0.00007
Pelagibacterium halotolerans	531813	S	966	92	1058	0.00019
Rhodomicrobium vannielii	1069	S	735	47	782	0.00014
Rhodoplanes sp. Z2-YC6860	674703	S	727	104	831	0.00015
Blastochloris viridis	1079	S	714	275	989	0.00018
Candidatus Filomicrobium marinum	1608628	S	397	11	408	0.00007
Methylobacterium sp. 17Sr1-43	2202828	S	717	201	918	0.00017
Methylobacterium sp. 17SD2-17	2202825	S	630	122	752	0.00014
Methylobacterium sp. 4-46	426117	S	628	128	756	0.00014
Methylobacterium nodulans	114616	S	590	92	682	0.00012
Methylobacterium aquaticum	270351	S	387	146	533	0.00010
Methylobacterium sp. 17Sr1-1	2202826	S	371	153	524	0.00010
Methylobacterium sp. 17Sr1-28	2202827	S	354	140	494	0.00009
Methylobacterium sp. DM1	2067957	S	343	349	692	0.00013
Methylobacterium currus	2051553	S	283	143	426	0.00008
Methylobacterium sp. AMS5	925818	S	225	279	504	0.00009
Methylobacterium phyllosphaerae	418223	S	134	466	600	0.00011
Methylobacterium sp. XJLM	1826873	S	80	1163	1243	0.00023
Methylobacterium sp. C1	1479019	S	64	332	396	0.00007
Methylobacterium radiotolerans	31998	S	60	259	319	0.00006
Methylobacterium oryzae	334852	S	25	488	513	0.00009
Methylorubrum populi	223967	S	774	492	1266	0.00023
Methylorubrum extorquens	408	S	601	1168	1769	0.00032
Microvirga ossetica	1882682	S	809	133	942	0.00017
Microvirga sp. 17 mud 1-3	2082949	S	655	185	840	0.00015
Martelella mediterranea	293089	S	5161	1762	6923	0.00126
Martelella sp. AD-3	686597	S	1386	632	2018	0.00037
Martelella endophytica	1486262	S	842	261	1103	0.00020
Aureimonas sp. AU20	1349819	S	781	142	923	0.00017
Methyloceanibacter caenitepidi	1384459	S	702	131	833	0.00015
Methyloceanibacter sp. wino2	2170729	S	672	141	813	0.00015
Hartmannibacter diazotrophicus	1482074	S	1446	355	1801	0.00033
Pseudorhodoplanes sinuspersici	1235591	S	729	97	826	0.00015
Xanthobacter autotrophicus	280	S	1240	666	1906	0.00035
Starkeya novella	921	S	866	366	1232	0.00022
Azorhizobium caulinodans	7	S	820	188	1008	0.00018
Pseudolabrys taiwanensis	331696	S	757	197	954	0.00017
Breoghania sp. L-A4	2304600	S	1976	294	2270	0.00041
Cohaesibacter sp. ES.047	1798205	S	1673	79	1752	0.00032
Ochrobactrum anthropi	529	S	548	1058	1606	0.00029
Ochrobactrum sp. A44	271865	S	476	100	576	0.00011
Ochrobactrum pseudogrignonense	419475	S	203	313	516	0.00009
Ochrobactrum pituitosum	571256	S	155	238	393	0.00007
Brucella vulpis	981386	S	211	394	605	0.00011
Brucella sp. 141012304	1885919	S	131	369	500	0.00009
Brucella sp. 09RB8471	1149952	S	80	242	322	0.00006
Brucella sp. 09RB8910	1844051	S	78	177	255	0.00005
Anderseniella sp. Alg231-50	1922226	S	1221	60	1281	0.00023
