name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Ruegeria sp. AD91A	2293862	S	74114	5988	80102	0.01930
Ruegeria pomeroyi	89184	S	22658	2863	25521	0.00615
Ruegeria sp. TM1040	292414	S	5509	1063	6572	0.00158
Ruegeria sp. NKC1-1	2099786	S	40	12	52	0.00001
Phaeobacter inhibens	221822	S	21735	9296	31031	0.00748
Phaeobacter gallaeciensis	60890	S	15070	122179	137249	0.03308
Phaeobacter piscinae	1580596	S	9380	6022	15402	0.00371
Phaeobacter porticola	1844006	S	4729	1069	5798	0.00140
Phaeobacter sp. LSS9	681157	S	1127	832	1959	0.00047
Paracoccus zhejiangensis	1077935	S	7720	2856	10576	0.00255
Paracoccus sp. CBA4604	2065379	S	6582	795	7377	0.00178
Paracoccus aminovorans	34004	S	5579	1833	7412	0.00179
Paracoccus contaminans	1945662	S	5560	1141	6701	0.00161
Paracoccus denitrificans	266	S	5424	1231	6655	0.00160
Paracoccus sp. BM15	1529068	S	5111	287	5398	0.00130
Paracoccus sp. SC2-6	2259340	S	4596	1607	6203	0.00149
Paracoccus yeei	147645	S	4534	7819	12353	0.00298
Paracoccus aminophilus	34003	S	3664	248	3912	0.00094
Paracoccus mutanolyticus	1499308	S	624	2344	2968	0.00072
Sulfitobacter sp. JL08	2070369	S	15198	736	15934	0.00384
Sulfitobacter sp. AM1-D1	1917485	S	12015	12287	24302	0.00586
Sulfitobacter pseudonitzschiae	1402135	S	11022	1974	12996	0.00313
Sulfitobacter sp. SK025	1389011	S	9334	2457	11791	0.00284
Sulfitobacter sp. SK011	1389004	S	4390	192	4582	0.00110
Sulfitobacter sp. SK012	1389005	S	2204	75	2279	0.00055
Rhodobacter sphaeroides	1063	S	21629	4223	25852	0.00623
Rhodobacter sp. LPB0142	1850250	S	8734	12521	21255	0.00512
Rhodobacter sp. CZR27	2033869	S	6982	2390	9372	0.00226
Rhodobacter capsulatus	1061	S	5034	1078	6112	0.00147
Celeribacter indicus	1208324	S	8809	7758	16567	0.00399
Celeribacter manganoxidans	1411902	S	7482	2081	9563	0.00230
Celeribacter ethanolicus	1758178	S	5841	3728	9569	0.00231
Celeribacter baekdonensis	875171	S	5665	2852	8517	0.00205
Celeribacter marinus	1397108	S	1711	66	1777	0.00043
Thalassococcus sp. SH-1	2109625	S	27279	2765	30044	0.00724
Rhodovulum sp. P5	1564506	S	9741	1877	11618	0.00280
Rhodovulum sulfidophilum	35806	S	7749	3142	10891	0.00262
Rhodovulum sp. MB263	308754	S	4596	2204	6800	0.00164
Yangia pacifica	311180	S	7962	1902	9864	0.00238
Yangia sp. CCB-MM3	1792508	S	7534	1442	8976	0.00216
Rhodobacteraceae bacterium QY30	2033435	S	6479	541	7020	0.00169
Rhodobacteraceae bacterium BAR1	2171755	S	5497	228	5725	0.00138
Rhodobacteraceae bacterium	1904441	S	4158	4549	8707	0.00210
Marinovum algicola	42444	S	15723	7106	22829	0.00550
Confluentimicrobium sp. EMB200-NS6	1609966	S	15455	11804	27259	0.00657
Dinoroseobacter shibae	215813	S	14348	9640	23988	0.00578
Sagittula sp. P11	2009329	S	14060	12315	26375	0.00636
Salipiger profundus	1229727	S	12016	8471	20487	0.00494
Roseobacter litoralis	42443	S	6074	421	6495	0.00157
Roseobacter denitrificans	2434	S	4124	1837	5961	0.00144
Leisingera methylohalidivorans	133924	S	11424	1496	12920	0.00311
Brevirhabdus pacifica	1267768	S	10909	5413	16322	0.00393
Defluviimonas alba	1335048	S	10087	5442	15529	0.00374
Pelagibaca abyssi	1250539	S	9122	5445	14567	0.00351
Roseovarius mucosus	215743	S	1624	3383	5007	0.00121
Roseovarius sp. TM1035	391613	S	1619	3235	4854	0.00117
Antarctobacter heliothermus	74033	S	8472	478	8950	0.00216
Roseibacterium elongatum	159346	S	8459	838	9297	0.00224
Tateyamaria omphalii	299262	S	8179	255	8434	0.00203
Yoonia vestfoldensis	245188	S	8094	2406	10500	0.00253
Thioclava nitratireducens	1915078	S	7618	1790	9408	0.00227
Epibacterium mobile	379347	S	7068	1891	8959	0.00216
Labrenzia sp. VG12	2021862	S	3501	305	3806	0.00092
Labrenzia aggregata	187304	S	1133	1283	2416	0.00058
Labrenzia sp. CP4	1674922	S	511	650	1161	0.00028
Octadecabacter arcticus	53946	S	2060	278	2338	0.00056
Octadecabacter antarcticus	1217908	S	1914	250	2164	0.00052
Octadecabacter temperatus	1458307	S	1584	45	1629	0.00039
Gemmobacter sp. HYN0069	2169400	S	5316	2652	7968	0.00192
Jannaschia sp. CCS1	290400	S	4485	69	4554	0.00110
Ketogulonicigenium vulgare	92945	S	2207	324	2531	0.00061
Ketogulonicigenium robustum	92947	S	2117	267	2384	0.00057
Pannonibacter phragmitetus	121719	S	3218	4268	7486	0.00180
Marivivens sp. JLT3646	1920883	S	3166	1609	4775	0.00115
Rhodobaca barguzinensis	441209	S	2914	136	3050	0.00074
Stappia sp. ES.058	1881061	S	2096	218	2314	0.00056
Halocynthiibacter arcticus	1579316	S	1106	49	1155	0.00028
Pseudovibrio sp. FO-BEG1	911045	S	494	41	535	0.00013
Hyphomonas sp. CACIAM 19H1	1873716	S	1110	236	1346	0.00032
Hyphomonas neptunium	81032	S	832	94	926	0.00022
Hyphomonas sp. Mor2	1906738	S	456	12	468	0.00011
Maricaulis maris	74318	S	776	62	838	0.00020
Hirschia baltica	2724	S	179	3	182	0.00004
