Sample	Reads	TaxID	Rank	Taxon
SRR24442555	54349	221822	S	                Phaeobacter inhibens
SRR24442555	34783	60890	S	                Phaeobacter gallaeciensis
SRR24442555	31285	1580596	S	                Phaeobacter piscinae
SRR24442555	28745	1844006	S	                Phaeobacter porticola
SRR24442555	2368	681157	S	                Phaeobacter sp. LSS9
SRR24442555	50834	1402135	S	                Sulfitobacter pseudonitzschiae
SRR24442555	37378	1389011	S	                Sulfitobacter sp. SK025
SRR24442555	26884	1917485	S	                Sulfitobacter sp. AM1-D1
SRR24442555	23425	2070369	S	                Sulfitobacter sp. JL08
SRR24442555	18090	1389004	S	                Sulfitobacter sp. SK011
SRR24442555	9028	1389005	S	                Sulfitobacter sp. SK012
SRR24442555	58897	1063	S	                Rhodobacter sphaeroides
SRR24442555	50883	1850250	S	                Rhodobacter sp. LPB0142
SRR24442555	17200	2033869	S	                Rhodobacter sp. CZR27
SRR24442555	10843	1061	S	                Rhodobacter capsulatus
SRR24442555	16683	1077935	S	                Paracoccus zhejiangensis
SRR24442555	13597	147645	S	                Paracoccus yeei
SRR24442555	13101	2065379	S	                Paracoccus sp. CBA4604
SRR24442555	11830	1945662	S	                Paracoccus contaminans
SRR24442555	11725	266	S	                Paracoccus denitrificans
SRR24442555	10018	34004	S	                Paracoccus aminovorans
SRR24442555	9979	1529068	S	                Paracoccus sp. BM15
SRR24442555	9326	2259340	S	                Paracoccus sp. SC2-6
SRR24442555	9312	34003	S	                Paracoccus aminophilus
SRR24442555	2029	1499308	S	                Paracoccus mutanolyticus
SRR24442555	28995	1208324	S	                Celeribacter indicus
SRR24442555	21277	1411902	S	                Celeribacter manganoxidans
SRR24442555	18232	1397108	S	                Celeribacter marinus
SRR24442555	17078	875171	S	                Celeribacter baekdonensis
SRR24442555	16147	1758178	S	                Celeribacter ethanolicus
SRR24442555	42786	2293862	S	                Ruegeria sp. AD91A
SRR24442555	35065	89184	S	                Ruegeria pomeroyi
SRR24442555	13612	292414	S	                Ruegeria sp. TM1040
SRR24442555	22	2099786	S	                Ruegeria sp. NKC1-1
SRR24442555	26392	1564506	S	                Rhodovulum sp. P5
SRR24442555	20371	35806	S	                Rhodovulum sulfidophilum
SRR24442555	9106	308754	S	                Rhodovulum sp. MB263
SRR24442555	26103	1792508	S	                Yangia sp. CCB-MM3
SRR24442555	23220	311180	S	                Yangia pacifica
SRR24442555	56151	245188	S	                Yoonia vestfoldensis
SRR24442555	52597	2009329	S	                Sagittula sp. P11
SRR24442555	47949	1609966	S	                Confluentimicrobium sp. EMB200-NS6
SRR24442555	45313	42444	S	                Marinovum algicola
SRR24442555	44846	74033	S	                Antarctobacter heliothermus
SRR24442555	20656	1904441	S	                Rhodobacteraceae bacterium
SRR24442555	11533	2033435	S	                Rhodobacteraceae bacterium QY30
SRR24442555	11053	2171755	S	                Rhodobacteraceae bacterium BAR1
SRR24442555	42927	1229727	S	                Salipiger profundus
SRR24442555	39698	2109625	S	                Thalassococcus sp. SH-1
SRR24442555	39084	215813	S	                Dinoroseobacter shibae
SRR24442555	19783	53946	S	                Octadecabacter arcticus
SRR24442555	7584	1217908	S	                Octadecabacter antarcticus
SRR24442555	6480	1458307	S	                Octadecabacter temperatus
SRR24442555	36373	1250539	S	                Pelagibaca abyssi
SRR24442555	14958	2434	S	                Roseobacter denitrificans
SRR24442555	14912	42443	S	                Roseobacter litoralis
SRR24442555	31523	1267768	S	                Brevirhabdus pacifica
SRR24442555	30511	1335048	S	                Defluviimonas alba
SRR24442555	29613	379347	S	                Epibacterium mobile
SRR24442555	6473	391613	S	                Roseovarius sp. TM1035
SRR24442555	5837	215743	S	                Roseovarius mucosus
SRR24442555	27128	1915078	S	                Thioclava nitratireducens
SRR24442555	25871	1920883	S	                Marivivens sp. JLT3646
SRR24442555	24889	299262	S	                Tateyamaria omphalii
SRR24442555	23890	133924	S	                Leisingera methylohalidivorans
SRR24442555	23693	159346	S	                Roseibacterium elongatum
SRR24442555	16332	2169400	S	                Gemmobacter sp. HYN0069
SRR24442555	16171	290400	S	                Jannaschia sp. CCS1
SRR24442555	12949	441209	S	                Rhodobaca barguzinensis
SRR24442555	6902	92945	S	                Ketogulonicigenium vulgare
SRR24442555	4622	92947	S	                Ketogulonicigenium robustum
SRR24442555	3910	2021862	S	                Labrenzia sp. VG12
SRR24442555	1092	1674922	S	                Labrenzia sp. CP4
SRR24442555	821	187304	S	                Labrenzia aggregata
SRR24442555	5826	121719	S	                Pannonibacter phragmitetus
SRR24442555	4948	1579316	S	                Halocynthiibacter arcticus
SRR24442555	2883	1881061	S	                Stappia sp. ES.058
SRR24442555	1912	911045	S	                Pseudovibrio sp. FO-BEG1
SRR24442555	816	1906738	S	                Hyphomonas sp. Mor2
SRR24442555	689	81032	S	                Hyphomonas neptunium
SRR24442555	658	1873716	S	                Hyphomonas sp. CACIAM 19H1
SRR24442555	842	74318	S	                Maricaulis maris
SRR24442555	175	2724	S	                Hirschia baltica
SRR24442555	4202	1125847	S	                  Rhizobium sp. NT-26
SRR24442555	3758	384	S	                  Rhizobium leguminosarum
SRR24442555	1426	1571470	S	                  Rhizobium sp. ACO-34A
SRR24442555	868	396	S	                  Rhizobium phaseoli
SRR24442555	758	2048897	S	                  Rhizobium sp. NXC24
SRR24442555	706	29449	S	                  Rhizobium etli
SRR24442555	682	56730	S	                  Rhizobium gallicum
SRR24442555	660	2028343	S	                  Rhizobium sp. 11515TR
SRR24442555	654	398	S	                  Rhizobium tropici
SRR24442555	570	348824	S	                  Rhizobium favelukesii
SRR24442555	507	2020312	S	                  Rhizobium sp. CIAT894
SRR24442555	428	1981173	S	                  Rhizobium sp. NXC14
SRR24442555	405	1869170	S	                  Rhizobium sp. S41
SRR24442555	311	2020313	S	                  Rhizobium sp. TAL182
SRR24442555	123	2020311	S	                  Rhizobium sp. Kim5
SRR24442555	119	1301032	S	                  Rhizobium sp. IE4771
SRR24442555	103	424182	S	                  Rhizobium sp. IRBG74
SRR24442555	52	1914541	S	                  Rhizobium sp. Y9
SRR24442555	11	1703969	S	                  Rhizobium sp. N324
SRR24442555	4	1703960	S	                  Rhizobium sp. N113
SRR24442555	2575	358	S	                    Agrobacterium tumefaciens
SRR24442555	647	1176649	S	                    Agrobacterium fabrum
SRR24442555	1838	1842536	S	                  Agrobacterium sp. RAC06
SRR24442555	1269	373	S	                  Agrobacterium vitis
SRR24442555	330	359	S	                  Agrobacterium rhizogenes
SRR24442555	189	861208	S	                  Agrobacterium sp. H13-3
SRR24442555	1797	399	S	                  Neorhizobium galegae
SRR24442555	827	2060726	S	                  Neorhizobium sp. SOG26
SRR24442555	803	1825976	S	                  Neorhizobium sp. NCHU2750
SRR24442555	2506	380	S	                    Sinorhizobium fredii
SRR24442555	1890	1842534	S	                  Sinorhizobium sp. RAC02
SRR24442555	1441	382	S	                  Sinorhizobium meliloti
SRR24442555	781	194963	S	                  Sinorhizobium americanum
SRR24442555	617	110321	S	                  Sinorhizobium medicae
SRR24442555	20	794846	S	                  Sinorhizobium sp. CCBAU 05631
SRR24442555	1944	106592	S	                  Ensifer adhaerens
SRR24442555	1127	716925	S	                  Ensifer sojae
SRR24442555	1569	879274	S	                Shinella sp. HZN7
SRR24442555	22	34021	S	                Candidatus Liberibacter asiaticus
SRR24442555	20	34020	S	                Candidatus Liberibacter africanus
SRR24442555	6	1273132	S	                Liberibacter crescens
SRR24442555	4	556287	S	                Candidatus Liberibacter solanacearum
SRR24442555	3	309868	S	                Candidatus Liberibacter americanus
SRR24442555	2894	1670800	S	                Mesorhizobium oceanicum
SRR24442555	1750	381	S	                Mesorhizobium loti
SRR24442555	1508	71433	S	                Mesorhizobium amorphae
SRR24442555	1453	39645	S	                Mesorhizobium ciceri
SRR24442555	834	2108445	S	                Mesorhizobium sp. DCY119
SRR24442555	794	593909	S	                Mesorhizobium opportunistum
SRR24442555	749	2066070	S	                Mesorhizobium japonicum
SRR24442555	747	536018	S	                Mesorhizobium australicum
SRR24442555	181	278153	S	                Mesorhizobium sp. WSM1497
SRR24442555	90	28104	S	                Mesorhizobium huakuii
SRR24442555	3469	244596	S	                Hoeflea phototrophica
SRR24442555	3196	1620421	S	                Hoeflea sp. IMCC20628
SRR24442555	2513	1756988	S	                Nitratireductor sp. OM-1
SRR24442555	1754	472175	S	                Nitratireductor basaltis
SRR24442555	1304	374606	S	                Aminobacter sp. MSH1
SRR24442555	1064	83263	S	                Aminobacter aminovorans
SRR24442555	890	1867719	S	                Phyllobacterium zundukense
SRR24442555	675	266779	S	                Chelativorans sp. BNC1
SRR24442555	1510	1437360	S	                Bradyrhizobium erythrophlei
SRR24442555	938	115808	S	                Bradyrhizobium sp. ORS 285
SRR24442555	864	931866	S	                Bradyrhizobium ottawaense
SRR24442555	816	722472	S	                Bradyrhizobium lablabi
SRR24442555	647	288000	S	                Bradyrhizobium sp. BTAi1
SRR24442555	541	114615	S	                Bradyrhizobium sp. ORS 278
SRR24442555	534	1355477	S	                Bradyrhizobium diazoefficiens
SRR24442555	485	1274631	S	                Bradyrhizobium icense
SRR24442555	475	1223566	S	                Bradyrhizobium sp. CCGE-LA001
SRR24442555	447	335659	S	                Bradyrhizobium sp. S23321
SRR24442555	441	2057741	S	                Bradyrhizobium sp. SK17
SRR24442555	418	44255	S	                Bradyrhizobium oligotrophicum
SRR24442555	300	375	S	                Bradyrhizobium japonicum
SRR24442555	293	1839752	S	                Bradyrhizobium sp. G22
SRR24442555	289	1404768	S	                Bradyrhizobium sp. 2 39S1MB
SRR24442555	248	1404367	S	                Bradyrhizobium sp. 3 85S1MB
SRR24442555	166	319017	S	                Bradyrhizobium sp. WSM471
SRR24442555	77	376	S	                Bradyrhizobium sp.
SRR24442555	5023	1076	S	                Rhodopseudomonas palustris
SRR24442555	993	2015316	S	                Bosea sp. AS-1
SRR24442555	971	1526658	S	                Bosea vaviloviae
SRR24442555	792	1842539	S	                Bosea sp. RAC05
SRR24442555	655	1792307	S	                Bosea sp. PAMC 26642
SRR24442555	531	912	S	                Nitrobacter hamburgensis
SRR24442555	478	913	S	                Nitrobacter winogradskyi
SRR24442555	708	40137	S	                Oligotropha carboxidovorans
SRR24442555	546	1333996	S	                Variibacter gotjawalensis
SRR24442555	377	709797	S	                Bradyrhizobiaceae bacterium SG-6C
SRR24442555	255	1882747	S	                Afipia sp. GAS231
SRR24442555	8121	454601	S	                Maritalea myrionectae
SRR24442555	1297	2083786	S	                Devosia sp. I507
SRR24442555	919	1643450	S	                Devosia sp. H5989
SRR24442555	669	1736675	S	                Devosia sp. A16
SRR24442555	868	717785	S	                Hyphomicrobium sp. MC1
SRR24442555	699	53399	S	                Hyphomicrobium denitrificans
SRR24442555	353	1427356	S	                Hyphomicrobium nitrativorans
SRR24442555	1098	1069	S	                Rhodomicrobium vannielii
SRR24442555	1034	531813	S	                Pelagibacterium halotolerans
SRR24442555	901	1079	S	                Blastochloris viridis
SRR24442555	732	674703	S	                Rhodoplanes sp. Z2-YC6860
